# time n - 500 (ps)    time n (ps)     molecule
500.0 1000.0   CHOL 1085 5 10
449000.0 449500.0   CHOL 1125 4490 4495
451000.0 451500.0   CHOL 1125 4510 4515
454000.0 454500.0   CHOL 1084 4540 4545
455000.0 455500.0   CHOL 1125 4550 4555
460000.0 460500.0   CHOL 1125 4600 4605
461500.0 462000.0   CHOL 1125 4615 4620
471000.0 471500.0   CHOL 1037 4710 4715
472000.0 472500.0   CHOL 1087 4720 4725
472000.0 472500.0   CHOL 1122 4720 4725
472500.0 473000.0   CHOL 1037 4725 4730
473500.0 474000.0   CHOL 1087 4735 4740
477000.0 477500.0   CHOL 1104 4770 4775
477000.0 477500.0   CHOL 1122 4770 4775
478000.0 478500.0   CHOL 1122 4780 4785
484500.0 485000.0   CHOL 1104 4845 4850
491500.0 492000.0   CHOL 1106 4915 4920
493500.0 494000.0   CHOL 1106 4935 4940
516000.0 516500.0   CHOL 1105 5160 5165
518000.0 518500.0   CHOL 1105 5180 5185
521000.0 521500.0   CHOL 1105 5210 5215
522000.0 522500.0   CHOL 1105 5220 5225
523500.0 524000.0   CHOL 1105 5235 5240
526000.0 526500.0   CHOL 1105 5260 5265
538000.0 538500.0   CHOL 1072 5380 5385
542000.0 542500.0   CHOL 1008 5420 5425
543500.0 544000.0   CHOL 1072 5435 5440
544500.0 545000.0   CHOL 1072 5445 5450
546000.0 546500.0   CHOL 1072 5460 5465
578500.0 579000.0   CHOL 1105 5785 5790
583500.0 584000.0   CHOL 1017 5835 5840
584000.0 584500.0   CHOL 1105 5840 5845
586000.0 586500.0   CHOL 1017 5860 5865
586500.0 587000.0   CHOL 1105 5865 5870
587000.0 587500.0   CHOL 1017 5870 5875
588000.0 588500.0   CHOL 1017 5880 5885
588500.0 589000.0   CHOL 1105 5885 5890
591000.0 591500.0   CHOL 1017 5910 5915
593000.0 593500.0   CHOL 1017 5930 5935
593500.0 594000.0   CHOL 1105 5935 5940
595500.0 596000.0   CHOL 1105 5955 5960
599500.0 600000.0   CHOL 1105 5995 6000
600500.0 601000.0   CHOL 1105 6005 6010
604000.0 604500.0   CHOL 1105 6040 6045
685500.0 686000.0   CHOL 1069 6855 6860
687500.0 688000.0   CHOL 1069 6875 6880
689500.0 690000.0   CHOL 1069 6895 6900
691500.0 692000.0   CHOL 1069 6915 6920
692500.0 693000.0   CHOL 1069 6925 6930
694000.0 694500.0   CHOL 1069 6940 6945
698500.0 699000.0   CHOL 1069 6985 6990
700500.0 701000.0   CHOL 1069 7005 7010
702500.0 703000.0   CHOL 1069 7025 7030
705000.0 705500.0   CHOL 1069 7050 7055
706000.0 706500.0   CHOL 1069 7060 7065
707000.0 707500.0   CHOL 1070 7070 7075
709500.0 710000.0   CHOL 1069 7095 7100
710000.0 710500.0   CHOL 1070 7100 7105
711000.0 711500.0   CHOL 1069 7110 7115
712500.0 713000.0   CHOL 1070 7125 7130
713000.0 713500.0   CHOL 1069 7130 7135
715500.0 716000.0   CHOL 1069 7155 7160
716500.0 717000.0   CHOL 1069 7165 7170
718500.0 719000.0   CHOL 1069 7185 7190
720000.0 720500.0   CHOL 1070 7200 7205
720500.0 721000.0   CHOL 1069 7205 7210
721500.0 722000.0   CHOL 1141 7215 7220
722000.0 722500.0   CHOL 1041 7220 7225
722000.0 722500.0   CHOL 1070 7220 7225
723000.0 723500.0   CHOL 1041 7230 7235
723000.0 723500.0   CHOL 1141 7230 7235
723500.0 724000.0   CHOL 1069 7235 7240
724500.0 725000.0   CHOL 1069 7245 7250
725000.0 725500.0   CHOL 1141 7250 7255
725500.0 726000.0   CHOL 1056 7255 7260
727500.0 728000.0   CHOL 1069 7275 7280
728000.0 728500.0   CHOL 1070 7280 7285
728000.0 728500.0   CHOL 1141 7280 7285
729000.0 729500.0   CHOL 1069 7290 7295
729500.0 730000.0   CHOL 1141 7295 7300
730000.0 730500.0   CHOL 1006 7300 7305
730000.0 730500.0   CHOL 1041 7300 7305
731000.0 731500.0   CHOL 1041 7310 7315
731000.0 731500.0   CHOL 1070 7310 7315
731000.0 731500.0   CHOL 1141 7310 7315
732000.0 732500.0   CHOL 1069 7320 7325
734000.0 734500.0   CHOL 1006 7340 7345
734500.0 735000.0   CHOL 1069 7345 7350
736000.0 736500.0   CHOL 1069 7360 7365
737500.0 738000.0   CHOL 1069 7375 7380
739500.0 740000.0   CHOL 1069 7395 7400
741500.0 742000.0   CHOL 1006 7415 7420
742000.0 742500.0   CHOL 1128 7420 7425
742000.0 742500.0   CHOL 1141 7420 7425
743500.0 744000.0   CHOL 1006 7435 7440
743500.0 744000.0   CHOL 1069 7435 7440
745500.0 746000.0   CHOL 1069 7455 7460
746000.0 746500.0   CHOL 1141 7460 7465
747000.0 747500.0   CHOL 1141 7470 7475
747500.0 748000.0   CHOL 1041 7475 7480
749000.0 749500.0   CHOL 1069 7490 7495
749500.0 750000.0   CHOL 1006 7495 7500
749500.0 750000.0   CHOL 1041 7495 7500
750000.0 750500.0   CHOL 1069 7500 7505
751000.0 751500.0   CHOL 1041 7510 7515
751500.0 752000.0   CHOL 1006 7515 7520
754000.0 754500.0   CHOL 1149 7540 7545
755000.0 755500.0   CHOL 1141 7550 7555
756000.0 756500.0   CHOL 1141 7560 7565
756500.0 757000.0   CHOL 1041 7565 7570
756500.0 757000.0   CHOL 1149 7565 7570
757500.0 758000.0   CHOL 1141 7575 7580
758500.0 759000.0   CHOL 1006 7585 7590
758500.0 759000.0   CHOL 1041 7585 7590
758500.0 759000.0   CHOL 1141 7585 7590
760000.0 760500.0   CHOL 1006 7600 7605
760500.0 761000.0   CHOL 1141 7605 7610
761500.0 762000.0   CHOL 1006 7615 7620
763500.0 764000.0   CHOL 1006 7635 7640
765500.0 766000.0   CHOL 1041 7655 7660
768000.0 768500.0   CHOL 1041 7680 7685
770500.0 771000.0   CHOL 1041 7705 7710
770500.0 771000.0   CHOL 1141 7705 7710
772000.0 772500.0   CHOL 1141 7720 7725
773000.0 773500.0   CHOL 1041 7730 7735
773000.0 773500.0   CHOL 1141 7730 7735
774500.0 775000.0   CHOL 1141 7745 7750
776500.0 777000.0   CHOL 1041 7765 7770
777000.0 777500.0   CHOL 1141 7770 7775
778000.0 778500.0   CHOL 1141 7780 7785
779500.0 780000.0   CHOL 1141 7795 7800
781500.0 782000.0   CHOL 1141 7815 7820
782000.0 782500.0   CHOL 1041 7820 7825
783000.0 783500.0   CHOL 1141 7830 7835
785500.0 786000.0   CHOL 1141 7855 7860
787500.0 788000.0   CHOL 1141 7875 7880
790000.0 790500.0   CHOL 1141 7900 7905
791500.0 792000.0   CHOL 1141 7915 7920
807500.0 808000.0   CHOL 1141 8075 8080
859500.0 860000.0   CHOL 1118 8595 8600
862000.0 862500.0   CHOL 1118 8620 8625
864500.0 865000.0   CHOL 1118 8645 8650
918000.0 918500.0   CHOL 1129 9180 9185
